City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
179,Shubarkuduk,KZ,2022-08-02 16:41:22,49.1447,56.4872,72.88,55,51,9.42,broken clouds,0,0
180,Takoradi,GH,2022-08-02 16:41:43,4.8845,-1.7554,76.37,68,49,12.28,scattered clouds,0,0
181,Kamenka,RU,2022-08-02 16:41:43,51.3223,42.7678,74.12,50,67,10.11,broken clouds,0,0
182,Kloulklubed,PW,2022-08-02 16:41:43,7.0419,134.2556,73.9,75,100,11.3,overcast clouds,0,0
183,Cidreira,BR,2022-08-02 16:41:44,-30.1811,-50.2056,63.55,72,25,8.61,scattered clouds,0,0
184,Kungurtug,RU,2022-08-02 16:41:44,50.5994,97.5228,53.44,83,42,1.61,scattered clouds,0,0
185,San Quintin,MX,2022-08-02 16:41:44,30.4833,-115.95,76.66,65,3,9.42,clear sky,0,0
186,Isangel,VU,2022-08-02 16:41:45,-19.55,169.2667,75.83,91,100,7.54,moderate rain,0,0
187,Orlik,RU,2022-08-02 16:41:45,52.5178,99.825,54.16,80,12,0.83,few clouds,0,0
188,Coffs Harbour,AU,2022-08-02 16:41:45,-30.3,153.1333,55.36,88,98,8.05,overcast clouds,0,0
189,Lac Du Bonnet,CA,2022-08-02 16:41:46,50.2536,-96.0612,74.35,60,59,8.72,broken clouds,0,0
190,Jacareacanga,BR,2022-08-02 16:41:46,-6.2222,-57.7528,93.63,39,83,5.59,broken clouds,0,0
191,Saint Anthony,US,2022-08-02 16:41:47,45.0205,-93.218,85.14,64,0,14.97,clear sky,0,0
192,Honolulu,US,2022-08-02 16:37:21,21.3069,-157.8583,76.82,75,40,15.01,scattered clouds,0,0
193,Portland,US,2022-08-02 16:41:47,45.5234,-122.6762,75.06,70,75,6.91,broken clouds,0,0
194,Shizunai,JP,2022-08-02 16:41:47,42.3339,142.3669,66.09,91,100,7.11,overcast clouds,0,0
195,Selikhino,RU,2022-08-02 16:41:48,50.3672,137.4996,64.89,97,63,2.75,broken clouds,0,0
196,Kruisfontein,ZA,2022-08-02 16:41:48,-34.0033,24.7314,54.75,64,67,2.86,broken clouds,0,0
197,Kholm-Zhirkovskiy,RU,2022-08-02 16:41:48,55.5189,33.4731,69.49,67,70,1.9,broken clouds,0,0
198,Souillac,MU,2022-08-02 16:41:49,-20.5167,57.5167,70.18,68,20,6.91,few clouds,0,0
199,Vostok,RU,2022-08-02 16:41:49,46.4856,135.8833,65.12,81,100,3.96,light rain,0,0
200,Imbituba,BR,2022-08-02 16:41:49,-28.24,-48.6703,67.86,88,8,5.99,clear sky,0,0
201,Avera,US,2022-08-02 16:41:50,33.194,-82.5271,89.38,41,90,9.55,overcast clouds,0,0
202,Lompoc,US,2022-08-02 16:41:50,34.6391,-120.4579,81.84,93,40,0.0,scattered clouds,0,0
203,Cape Canaveral,US,2022-08-02 16:41:51,28.4058,-80.6048,95.07,65,0,9.22,clear sky,0,0
204,Chone,EC,2022-08-02 16:40:58,-0.6833,-80.1,79.79,68,87,5.75,overcast clouds,0,0
205,Shahrud,IR,2022-08-02 16:41:51,36.4182,54.9763,77.9,31,0,12.19,clear sky,0,0
206,Sinnamary,GF,2022-08-02 16:41:51,5.3833,-52.95,83.03,76,31,10.07,light rain,0,0
